entries: 230
01101 复仇者 | 反击：对击杀者造成2伤害。下阶段开始退场
01342 不详之鸦 | 血歌。附着：+0+3。附着物退场后附着于己方其他血歌召唤物
01343 不稳定实验品 | 抛置：对对方一召唤物造成ATK数值的伤害
01344 诅咒女巫 | 抛置：使对方一召唤物ATK永久-2
01345 改造人 | 攻击后使对位召唤物前后排互换
01346 士兵 | 抛置：为己方一召唤物恢复3HP
01347 荣誉侍者 | 退场：对敌一召唤物2伤。主动退场：+2能量，查看对方手牌弃掉邪恶法术
01348 阴谋家 | 进场：若对方放置了反制牌→+3+0或+0+3
01349 收藏家 | 进场：消耗任意手牌，每消耗一张+0+1并+1能量
01501 深渊皇帝 | 进场：为己方附加渊前缀。在场时渊前缀+1+1，每使敌退场对应+1+1
01502 影舞者 | 进场：影子上限+1召唤所有影子。退场影子每阶段重新进场
01503 领主 | 进场：召唤两幽魂。己方受伤转为扣除领主HP
01504 群狼之王 | 进场：替换己方格子为狼触发退场。每退场狼+1+1
01505 封锁者 | 进场：永久封锁对方一个空格
01506 增幅结构 | 进场：召唤两杂兵+附加机械前缀。3机械每阶段全体+1+1
01507 生命祭司 | 进场：祝福一召唤物（HP<=0→回满+2+1+触发进场）
01508 征服者 | 击杀退场后本次最多扣1HP+恢复1HP。不受对方非反制法术
01509 恐怖分子 | 进场：对敌全体1伤。若使任何退场再次触发（可多次连锁）
01510 古老精灵 | 附着：+5+0。附着者退场后附着于己方其他召唤物
01511 心灵学者 | 进场：复制对方1/3费进场或抛置。退场回手。每阶段至多触发一次
01512 万象镜面 | ATK=对位召唤物。先手获护盾。HP恢复/扣除单次最高为1
01513 复生造物 | 先手调整机械位置。敌导致己方退场→召唤杂兵。机械进场+1+0
01514 勇者 | 进场：获得两张追随者。追随者抵挡致命伤害退场后设HP=2
01515 狂热萨满 | 进场：触发己方其他进场。对方无法触发进场和抛置
01516 迅影杀手 | 进场获护盾。先手调整己方召唤物位置
01517 雾隐之人 | 进场调整己方位置。对方无法看到己方召唤物信息
01518 禁魔人 | 对方后续打出的法术无效化
01519 守护骑士 | 先手：为己方三名召唤物附加护盾（攻击回合结束消失）
01520 神秘商人 | 退场：摸一张牌。在场时手牌召唤费用-1（最低0）
01521 辉煌法师 | 进场：打出法术费用之和<=8
01522 殉难者 | 退场：使己方一召唤物+5+4
01523 水墨 | 进场：使己方其他退场回手，每退场+1+1。在场时每退场+1能量
01524 画卷之核 | 每保留阶段召唤费+1。两画卷→敌全体退场
01525 熔能铁匠 | 每阶段消耗手牌获能量。每3张强化1格子ATK临+2
01526 忤逆者 | 每阶段消耗手牌恢复HP和玩家HP
01527 消逝之影 | 反击：+2+1。附着：+6+5+灵能前缀
01528 能量收割者 | 敌退场+3能量。附着：+1+3。灵能手牌费-1
01529 生命毁灭 | 下阶段退场→对对方玩家造成当前HP伤害。附着：+4+0+同效果
01530 恐惧之龙 | 攻击目标排全等额伤害。每退场1→随机弃对方1牌
01531 亡命之徒 | 先手扣HP获护盾。攻击扣对方玩家2HP。阶位判定+2。无法恢复HP
01532 蔷薇重炮 | 消耗手牌。攻回开始伤敌。退场恢复己方血歌数HP
01533 猩红圣徒 | 敌进场后受血歌数伤。进场附加血歌前缀
01534 活化母巢 | 敌退场+0+1。抛置：召唤两可怖之物
01535 执行之剑 | 消耗法术。攻回开始伤敌。退场→扣对方玩家2HP
01536 渎神者 | 进场调整对方位置。HP<=0延迟至下阶段退场
03501 缄默神官 | 进场：指定对方一召唤物本阶段无法攻击无法发挥特性。英雄阶位+1
03502 毒巫 | 先手：指定敌无法护盾+受伤x2。指定神选者→减对方1能量
03503 智者 | 场上英雄+2+1（退场保留至英雄退场）。对方打邪恶法术扣对方玩家1HP
03504 执念亡魂 | 进场：对敌全体1伤。退场回手费-1。费=0时消失
03505 不公死神 | 进场：使敌一英雄退场不触发主动退场。己方恢复HP法术效果+1
03506 审判者 | 进场：对敌全体1伤。先手：对前排左/右+后排中2伤
03507 偏执狂 | 进场：查看对方手牌弃邪恶法术。不与其他神选者同方ATK临+2
03508 天选之人 | 进场：使敌神选者退场回手返费用。对方无法召唤神选者
03509 科学怪人 | 进场：召唤场上任一召唤物复制体（无特性）
03510 观星术士 | 进场：排牌堆前5+弃牌。退场：对方下阶段仅能召唤2。后排ATK临+1
03511 灾厄行者 | 在场时己方玩家每扣1HP摸1牌
03512 掌灯人 | 进场：与己方一格子换位。对方无法触发反击/退场/主动退场
03513 断罪者 | 退场：对敌全体1伤。先手：对前排中/后排左/后排右2伤
03001 追随者 | 附着：每阶段+0+1
03002 幽魂 | 
03003 被腐化者 | 先手：对敌后排1伤
03004 杂兵 | 
03005 飞升者 | 先手：对敌前排1伤
03006 狼 | 
03007 影子 | 无法回到手牌
03008 复制体 | 
03009 打工人 | 反击：+1能量。退场回手。下阶段开始自动退场
03010 小团恶念 | 下阶段变为大团恶念
03011 大团恶念 | 下阶段退场+5能量招小团恶念
03012 阴阳 | HP/ATK=场上最高。攻伤+1。受伤-1。先手：使己方低值=高值
03013 归息 | 附着永久+1+1+阶位+灵能。退场回手。下阶段自动退场+恢复1HP
03014 猎人 | 空打时对敌全体2伤
03015 金 | 
03016 木 | 
03017 水 | 
03018 火 | 
03019 土 | 
03020 石头人 | 先手：对对方玩家1伤害。退场→获得小石头人
03021 小石头人 | 退场→获得小小石头人
03022 小小石头人 | 
03023 绵羊 | 反击：使击杀者退场，在己方原位置召唤恶狼
03024 恶狼 | ATK/HP=退场召唤物最高值。无法回手
03025 叛徒 | 
03026 投资者 | 无法恢复HP。抛置：获得扣过HP值能量
03027 中枢 | 在场时全体+手牌附加灵能前缀
03028 无终者 | 血歌。对敌全体1伤
03029 可怖之物 | HP/ATK由母巢决定
02001 神恩 | 摸一张神选者牌
02002 开心开玩 | 当能量>=8时允许打出。摸两张牌
02003 生命枯竭 | 使对方一召唤物退场（不视为主动退场）。费用=目标召唤费用-1（最低0）
02004 皇帝的认可 | 为己方手牌/场上一召唤物附加渊前缀。摸1牌
02005 爬！ | 使己方一召唤物退场（不视为主动退场）。摸1牌
02006 给你一拳 | 对对方玩家造成1伤害
02007 禁令 | 仅在对方打出法术/触发反制时使用。无效化该法术。费用=对应费-1（最低0）
02008 伪装 | 下一张牌视为攻击回合开始触发的反制牌
02009 飘荡元素 | 随机获得一张金/木/水/火/土元素
02010 背叛 | 在对方区域召唤一叛徒
02101 一费终结者 | [反制] 对方打出1费牌→己方摸三张牌。下阶段结束无效果触发
02102 三费终结者 | [反制] 对方打出3费牌→己方摸三张牌。下阶段结束无效果触发
02103 血瓶 | [邪恶] 恢复己方一召唤物3HP
02104 勇者小队 | 获得一张追随者
02105 治疗药剂 | 恢复玩家2HP
02106 重整阵型 | 调整己方召唤物位置
02107 致命一击！ | 对对方一召唤物造成3伤害
02108 下班时间 | 使对方一召唤物退场回手，返费用，本阶段无法再次召唤
02109 正义的群殴 | 召唤两名机械：杂兵
02110 血拼 | 对己方HP>=4召唤物造成4伤害+4能量
02111 换洗 | 最多保留4手牌，其余弃掉摸等量牌
02112 尖牙之经 | [邪恶] 血歌。对对方一排召唤物造成1伤害
02201 压榨潜能 | [邪恶] 触发己方一召唤物的进场
02202 掀桌啦！ | 使己方全体退场不触发退场，返还召唤费用
02203 伟大进化 | 使己方一召唤物阶位永久+3
02204 逆转时刻 | 使任意一召唤物当前HP和ATK互换
02205 战略性撤退 | 使己方一召唤物退场回手，摸一张牌
02206 机械飞升 | 使任意召唤物变成机械：飞升者（不视为退场）
02207 深渊之息 | 使任意召唤物变成渊：被腐化者（不视为退场）
02208 自由贸易 | 挑选与对方交换一张牌（上限己方牌费+2）
02209 和你拼了! | 扣己方玩家3HP+5能量。HP<=3时可弃掉抽1牌
02210 这是一张反制 | [反制] 下阶段开始+3能量
02211 垂死挣扎 | [反制] 己方玩家HP<=0时恢复3HP+1能量
02212 意念并同 | 召唤灵能：中枢，附加灵能前缀
02213 属性聚集 | 使任意召唤物ATK降为1，降低量加至HP
02214 穿膛之刺 | 对对方一排2伤，中间位+1
02215 超频 | [邪恶] 选一召唤物本次攻伤x2，下阶段扣ATK值HP
02216 生命汲取 | [邪恶] 血歌。对敌一召唤物2伤，退场→恢复2HP
02217 神御之护 | [反制] 攻击回合结束。若玩家受伤害>5→调整为5
02301 灵魂滋养 | [邪恶] 恢复玩家4HP
02302 反制克星 | 无效果触发对方反制牌，打出该反制（仅扣1能量）
02303 箭雨 | 对敌全体2伤，无视并破除护盾
02304 蛊惑之音 | [反制] 对方召3费进场→进场转为己方、HP降为1、+1能量
02305 片甲不留 | [反制] 对方下回合结束能量=0→挑获对方1牌+2能量
02306 屯能噩梦 | [反制] 对方下回合结束能量≠0→挑获对方1牌+2牌
02307 很——多牌 | 抽7弃4，每弃5费牌+1能量
02308 猎人子弹 | 获得一名猎人
02309 风险投资 | 获得一名投资者
02310 聚光灯 | 选己方一格，阶位临+2，每阶段恢复2HP，不可叠加
02311 冲锋号角 | 使己方一排对位造成ATK伤，然后+0-1
02312 鲜血转化 | [邪恶] 血歌。使任意召唤物变成血歌：无终者
02401 加班 | [邪恶] 选择召唤上阶段退场未回手的一名召唤物
02402 血腥护身 | [邪恶] 为己方全体附加护盾（可一直持有）+1+0。恢复一召唤物2HP
02403 固态恶念 | 召唤一名小团恶念
02404 天选打工人 | 获得一张打工人（神选者）
02405 能量复制 | [反制] 获得对方下回合打出召唤物/法术费用之和的能量
02406 自己带来的毁灭 | [反制] 对方下回合累计伤害触发
02407 磐岩之力 | 获得一张石头人
02408 疫病 | [邪恶] 指定两格，攻击回合开始受格子回合数伤+永久-1ATK
02501 门 | [邪恶] 扣己方1HP，召唤手牌召唤物（费用和<=8）
02502 不打五费？ | [反制] 对方不打出5费→己方+5能量摸3牌弃对方1张5费
02503 打五费？ | [反制] 对方打出5费→无效+阶位-2+弃对方1牌+2能量
02504 游戏开始 | [反制] HP越低回报越大，仅触发一次
02505 Made In 灵能 | 获得灵能：归息（神选者）
02506 荆棘之心 | 本回合手牌可转化为致命一击！。转化5费牌+2能量
02507 绵羊与恶狼 | 召唤一张绵羊
02508 时间乱流 | 扣2HP，下个对方回合结束后获额外回合，结束全体恢复2HP
